Energy,DOS,Error
0.84964,1.52E-03,2.99E-05
0.86749,1.55E-03,3.14E-05
0.88544,1.58E-03,3.26E-05
0.9035,1.59E-03,3.17E-05
0.92166,1.60E-03,3.32E-05
0.93994,1.62E-03,3.27E-05
0.95832,1.63E-03,3.31E-05
0.97681,1.64E-03,3.41E-05
0.99541,1.65E-03,3.45E-05
1.01412,1.67E-03,3.53E-05
1.03294,1.71E-03,3.51E-05
1.05187,1.72E-03,3.65E-05
1.07092,1.76E-03,3.69E-05
1.09008,1.77E-03,3.87E-05
1.10936,1.82E-03,3.82E-05
1.12875,1.83E-03,3.92E-05
1.14826,1.84E-03,3.84E-05
1.16789,1.83E-03,3.99E-05
1.18764,1.87E-03,4.09E-05
1.20751,1.90E-03,4.08E-05
1.22749,1.92E-03,4.19E-05
1.2476,1.94E-03,4.18E-05
1.26784,1.94E-03,4.21E-05
1.28819,1.98E-03,4.23E-05
1.30868,2.00E-03,4.49E-05
1.32928,2.02E-03,4.41E-05
1.35002,2.01E-03,4.50E-05
1.37088,2.02E-03,4.49E-05
1.39187,2.06E-03,4.54E-05
1.413,2.09E-03,4.56E-05
1.43425,2.16E-03,4.62E-05
1.45563,2.17E-03,4.93E-05
1.47715,2.20E-03,4.89E-05
1.49881,2.22E-03,4.94E-05
1.5206,2.25E-03,5.03E-05
1.54252,2.25E-03,4.85E-05
1.56459,2.27E-03,4.92E-05
1.58679,2.28E-03,5.09E-05
1.60913,2.32E-03,5.15E-05
1.63162,2.38E-03,5.12E-05
1.65424,2.41E-03,5.35E-05
1.67701,2.44E-03,5.16E-05
1.69993,2.48E-03,5.37E-05
1.72299,2.52E-03,5.57E-05
1.7462,2.55E-03,5.48E-05
1.76956,2.56E-03,5.54E-05
1.79307,2.60E-03,5.64E-05
1.81673,2.65E-03,5.73E-05
1.84054,2.67E-03,5.88E-05
1.86451,2.69E-03,5.56E-05
1.88863,2.70E-03,5.89E-05
1.91291,2.75E-03,5.87E-05
1.93735,2.81E-03,5.96E-05
1.96194,2.83E-03,6.03E-05
1.9867,2.88E-03,5.96E-05
2.01162,2.85E-03,6.04E-05
2.0367,2.87E-03,5.86E-05
2.06195,2.91E-03,6.08E-05
2.08736,2.97E-03,6.25E-05
2.11295,3.02E-03,6.09E-05
2.1387,3.03E-03,6.23E-05
2.16462,3.06E-03,6.31E-05
2.19072,3.10E-03,6.34E-05
2.21699,3.15E-03,6.41E-05
2.24343,3.20E-03,6.45E-05
2.27005,3.24E-03,6.57E-05
2.29685,3.27E-03,6.56E-05
2.32383,3.30E-03,6.76E-05
2.351,3.34E-03,6.62E-05
2.37834,3.40E-03,6.69E-05
2.40587,3.41E-03,6.89E-05
2.43359,3.45E-03,6.74E-05
2.4615,3.45E-03,6.89E-05
2.4896,3.50E-03,6.79E-05
2.51788,3.51E-03,6.80E-05
2.54637,3.53E-03,7.03E-05
2.57505,3.56E-03,6.86E-05
2.60392,3.58E-03,6.83E-05
2.633,3.62E-03,7.17E-05
2.66228,3.68E-03,7.07E-05
2.69176,0.00373,7.17E-05
2.72144,0.00373,7.22E-05
2.75133,3.74E-03,7.05E-05
2.78143,0.00377,7.34E-05
2.81174,0.00383,7.32E-05
2.84226,0.0039,7.18E-05
2.873,0.00393,7.62E-05
2.90395,0.004,7.43E-05
2.93512,0.004,7.34E-05
2.96651,0.00404,7.40E-05
2.99813,0.00407,7.54E-05
3.02997,0.00412,7.53E-05
3.06204,0.00415,7.50E-05
3.09433,0.00417,7.60E-05
3.12686,0.00421,7.54E-05
3.15962,0.00425,7.73E-05
3.19262,0.00434,7.68E-05
3.22585,0.00436,7.82E-05
3.25932,0.0044,7.71E-05
3.29304,0.0044,7.93E-05
3.327,0.00445,7.79E-05
3.36121,0.00454,7.90E-05
3.39567,0.00462,8.10E-05
3.43038,0.00468,7.95E-05
3.46535,0.00463,8.17E-05
3.50057,0.00467,7.82E-05
3.53606,0.00469,8.09E-05
3.5718,0.00479,8.06E-05
3.60781,0.00482,8.18E-05
3.64409,0.00485,8.22E-05
3.68063,0.00489,8.13E-05
3.71746,0.00491,8.30E-05
3.75455,0.00502,8.33E-05
3.79192,0.00511,8.53E-05
3.82958,0.00519,8.58E-05
3.86752,0.00525,8.39E-05
3.90575,0.00527,8.72E-05
3.94426,0.00529,8.45E-05
3.98307,0.00532,8.53E-05
4.02217,0.00534,8.75E-05
4.06157,0.00541,8.48E-05
4.10128,0.00539,8.67E-05
4.14128,0.00547,8.58E-05
4.1816,0.00548,8.66E-05
4.22223,0.00555,8.50E-05
4.26317,0.00556,8.66E-05
4.30443,0.00566,8.67E-05
4.34601,0.00567,8.77E-05
4.38791,0.00571,8.66E-05
4.43014,0.00575,8.78E-05
4.47271,0.00584,8.98E-05
4.5156,0.0059,8.84E-05
4.55884,0.00587,9.02E-05
4.60241,0.00594,8.91E-05
4.64633,0.00598,9.01E-05
4.6906,0.00605,8.85E-05
4.73522,0.00609,9.05E-05
4.7802,0.00613,9.01E-05
4.82554,0.00617,8.95E-05
4.87124,0.00621,9.10E-05
4.91731,0.00626,9.14E-05
4.96375,0.00632,8.99E-05
5.01056,0.00638,9.21E-05
5.05776,0.00641,9.26E-05
5.10534,0.00643,9.11E-05
5.15331,0.00645,9.12E-05
5.20166,0.00656,9.09E-05
5.25042,0.00659,9.38E-05
5.29958,0.00666,9.24E-05
5.34914,0.00666,9.29E-05
5.39911,0.00672,9.26E-05
5.4495,0.00673,9.34E-05
5.5003,0.00676,9.29E-05
5.55153,0.00683,9.32E-05
5.60319,0.00691,9.38E-05
5.65528,0.00699,9.36E-05
5.70781,0.00702,9.44E-05
5.76077,0.00705,9.39E-05
5.81419,0.00711,9.47E-05
5.86806,0.00714,9.66E-05
5.92239,0.00714,9.47E-05
5.97718,0.00713,9.49E-05
6.03244,0.0071,9.59E-05
6.08818,0.00713,9.30E-05
6.14439,0.00716,9.39E-05
6.20109,0.00726,9.45E-05
6.25828,0.00727,9.52E-05
6.31596,0.00728,9.52E-05
6.37414,0.0072,9.52E-05
6.43284,0.00724,9.43E-05
6.49204,0.00724,9.50E-05
6.55177,0.00735,9.49E-05
6.61202,0.00737,9.56E-05
6.6728,0.00742,9.57E-05
6.73413,0.00739,9.45E-05
6.79599,0.00746,9.37E-05
6.85841,0.00749,9.55E-05
6.92138,0.00757,9.59E-05
6.98492,0.00755,9.52E-05
7.04903,0.00758,9.45E-05
7.11372,0.0076,9.56E-05
7.17899,0.00765,9.56E-05
7.24485,0.00768,9.65E-05
7.31131,0.0077,9.60E-05
7.37838,0.00772,9.55E-05
7.44606,0.00773,9.67E-05
7.51436,0.00778,9.55E-05
7.5833,0.00782,9.60E-05
7.65286,0.00786,9.71E-05
7.72308,0.00787,9.60E-05
7.79394,0.00788,9.63E-05
7.86547,0.00788,9.70E-05
7.93766,0.0079,9.71E-05
8.01053,0.00791,9.65E-05
8.08409,0.00795,9.63E-05
8.15834,0.008,9.56E-05
8.23329,0.00804,9.73E-05
8.30896,0.00808,9.67E-05
8.38534,0.00809,9.72E-05
8.46245,0.00807,9.72E-05
8.54031,0.0081,9.56E-05
8.61891,0.00804,9.69E-05
8.69828,0.00804,9.62E-05
8.77841,0.00801,9.56E-05
8.85931,0.00809,9.53E-05
8.94101,0.00812,9.63E-05
9.02351,0.00812,9.50E-05
9.10681,0.00806,9.55E-05
9.19093,0.00799,9.52E-05
9.27588,0.00796,9.37E-05
9.36168,0.00799,9.37E-05
9.44833,0.00798,9.47E-05
9.53584,0.00799,9.29E-05
9.62422,0.00799,9.36E-05
9.7135,0.00799,9.31E-05
9.80367,0.008,9.28E-05
9.89475,0.00798,9.36E-05
9.98676,0.008,9.29E-05
10.0797,0.00797,9.17E-05
10.1736,0.00796,9.21E-05
10.2685,0.00803,9.16E-05
10.3643,0.00805,9.26E-05
10.4611,0.00804,9.16E-05
10.5589,0.00798,9.18E-05
10.6577,0.00796,9.09E-05
10.7576,0.00797,9.09E-05
10.8585,0.00799,9.12E-05
10.9605,0.00799,9.08E-05
11.0635,0.008,8.98E-05
11.1677,0.008,9.03E-05
11.2729,0.00803,9.05E-05
11.3792,0.00803,9.11E-05
11.4867,0.00802,9.04E-05
11.5954,0.00803,8.91E-05
11.7052,0.00799,8.96E-05
11.8162,0.00807,8.85E-05
11.9284,0.0081,9.03E-05
12.0418,0.00815,8.98E-05
12.1564,0.00808,8.93E-05
12.2724,0.00806,8.86E-05
12.3895,0.00808,8.94E-05
12.508,0.0081,8.92E-05
12.6278,0.00809,8.91E-05
12.7489,0.00808,8.87E-05
12.8714,0.00813,8.87E-05
12.9952,0.00815,8.84E-05
13.1205,0.00817,8.80E-05
13.2471,0.00812,8.84E-05
13.3752,0.00815,8.76E-05
13.5047,0.00816,8.84E-05
13.6358,0.00819,8.88E-05
13.7683,0.00817,8.82E-05
13.9023,0.00814,8.80E-05
14.0379,0.00819,8.76E-05
14.1751,0.00825,8.87E-05
14.3138,0.00832,8.85E-05
14.4542,0.00836,8.84E-05
14.5962,0.00838,8.88E-05
14.7399,0.0084,8.90E-05
14.8853,0.00844,8.87E-05
15.0324,0.00848,8.91E-05
15.1813,0.0085,8.94E-05
15.3319,0.00849,8.97E-05
15.4843,0.00854,8.95E-05
15.6386,0.00864,9.01E-05
15.7948,0.00874,9.09E-05
15.9529,0.00879,9.09E-05
16.1128,0.00886,9.15E-05
16.2748,0.00891,9.15E-05
16.4387,0.00897,9.19E-05
16.6047,0.00902,9.33E-05
16.7727,0.00903,9.30E-05
16.9428,0.00903,9.29E-05
17.115,0.00899,9.29E-05
17.2894,0.00898,9.34E-05
17.466,0.00898,9.37E-05
17.6448,0.00897,9.40E-05
17.826,0.00899,9.36E-05
18.0094,0.00896,9.36E-05
18.1951,0.0089,9.38E-05
18.3833,0.00888,9.37E-05
18.5739,0.00886,9.36E-05
18.767,0.00885,9.40E-05
18.9626,0.00875,9.43E-05
19.1607,0.00868,9.35E-05
19.3615,0.00865,9.40E-05
19.5649,0.00859,9.35E-05
19.771,0.00856,9.35E-05
19.9799,0.00854,9.42E-05
20.1916,0.0086,9.43E-05
20.4061,0.00864,9.45E-05
20.6235,0.00865,9.38E-05
20.8439,0.00865,9.34E-05
21.0672,0.00867,9.40E-05
21.2937,0.00868,9.37E-05
21.5232,0.0087,9.27E-05
21.7559,0.00871,9.25E-05
21.9919,0.00877,9.29E-05
22.2312,0.00883,9.23E-05
22.4738,0.00884,9.17E-05
22.7198,0.00885,9.16E-05
22.9693,0.0089,9.10E-05
23.2224,0.00895,9.07E-05
23.479,0.00899,9.04E-05
23.7394,0.00895,9.00E-05
24.0035,0.00892,8.88E-05
24.2715,0.00891,8.81E-05
24.5433,0.0089,8.80E-05
24.8192,0.00891,8.77E-05
25.099,0.0089,8.72E-05
25.3831,0.00888,8.72E-05
25.6713,0.00883,8.65E-05
25.9639,0.00883,8.59E-05
26.2608,0.00884,8.58E-05
26.5622,0.00884,8.55E-05
26.8682,0.00876,8.50E-05
27.1788,0.00873,8.40E-05
27.4943,0.00875,8.45E-05
27.8145,0.0088,8.43E-05
28.1397,0.00879,8.42E-05
28.47,0.00878,8.33E-05
28.8054,0.00875,8.36E-05
29.1461,0.00872,8.31E-05
29.4922,0.00871,8.31E-05
29.8438,0.00869,8.32E-05
30.201,0.00868,8.27E-05
30.5639,0.00864,8.28E-05
30.9327,0.00865,8.23E-05
31.3075,0.00863,8.28E-05
31.6883,0.0086,8.27E-05
32.0755,0.00859,8.29E-05
32.469,0.00864,8.27E-05
32.869,0.00872,8.31E-05
33.2757,0.00875,8.30E-05
33.6892,0.00875,8.36E-05
34.1097,0.00874,8.30E-05
34.5373,0.00878,8.30E-05
34.9722,0.00881,8.32E-05
35.4146,0.0089,8.27E-05
35.8646,0.0089,8.36E-05
36.3224,0.00898,8.29E-05
36.7882,0.00901,8.33E-05
37.2622,0.0091,8.32E-05
37.7445,0.00923,8.31E-05
38.2355,0.00935,8.34E-05
38.7351,0.0095,8.40E-05
39.2438,0.00949,8.38E-05
39.7617,0.00957,8.27E-05
40.2889,0.00966,8.37E-05
40.8258,0.00987,8.36E-05
41.3727,0.00998,8.42E-05
41.9296,0.01009,8.40E-05
42.4969,0.01022,8.40E-05
43.0749,0.01029,8.56E-05
43.6638,0.01034,8.52E-05
44.2638,0.01037,8.52E-05
44.8754,0.01048,8.58E-05
45.4987,0.01061,8.63E-05
46.1341,0.01072,8.67E-05
46.7818,0.01085,8.72E-05
47.4423,0.01095,8.76E-05
48.1158,0.01101,8.82E-05
48.8027,0.01112,8.85E-05
49.5033,0.01118,8.96E-05
50.2181,0.01128,8.91E-05
50.9473,0.01135,9.00E-05
51.6915,0.01143,9.09E-05
52.4509,0.01153,9.07E-05
53.226,0.01163,9.20E-05
54.0173,0.01173,9.27E-05
54.8253,0.0118,9.28E-05
55.6503,0.01183,9.36E-05
56.4929,0.01192,9.41E-05
57.3534,0.01198,9.45E-05
58.2327,0.01204,9.55E-05
59.131,0.01209,9.59E-05
60.049,0.01214,9.64E-05
60.9873,0.01212,9.70E-05
61.9465,0.01212,9.69E-05
62.927,0.01212,9.79E-05
63.9298,0.01217,9.87E-05
64.9554,0.01215,9.91E-05
66.0045,0.01214,9.93E-05
67.0778,0.0121,1.00E-04
68.176,0.01208,1.01E-04
69.3,0.01204,1.01E-04
70.4506,0.01198,1.02E-04
71.6286,0.01194,1.02E-04
72.8349,0.0119,1.03E-04
74.0703,0.01189,1.05E-04
75.336,0.01189,1.05E-04
76.6327,0.0118,1.06E-04
77.9617,0.01168,1.06E-04
79.3239,0.01156,1.07E-04
80.7204,0.01151,1.08E-04
82.1525,0.01149,1.10E-04
83.6213,0.01143,1.10E-04
85.1281,0.01128,1.12E-04
86.6743,0.01121,1.12E-04
88.2612,0.0111,1.14E-04
89.8902,0.01101,1.15E-04
91.563,0.01091,1.15E-04
93.2809,0.0108,1.18E-04
95.0457,0.01068,1.19E-04
96.8591,0.01052,1.20E-04
98.723,0.01035,1.22E-04
100.639,0.01014,1.23E-04
102.609,0.00986,1.24E-04
104.636,0.00969,1.25E-04
106.721,0.00951,1.28E-04
108.867,0.00925,1.29E-04
111.077,0.00885,1.29E-04
113.352,0.00856,1.31E-04
115.695,0.00832,1.35E-04
118.109,0.00815,1.35E-04
120.597,0.00792,1.39E-04
123.162,0.00776,1.43E-04
125.808,0.00755,1.46E-04
128.537,0.00737,1.49E-04
131.353,0.00711,1.53E-04
134.26,0.00694,1.57E-04
137.262,0.00674,1.64E-04
140.363,0.00658,1.69E-04
143.567,0.00637,1.76E-04
146.88,0.0063,1.84E-04
150.305,0.00621,1.96E-04
153.849,0.00625,2.06E-04
157.517,0.00618,2.23E-04
161.314,0.00631,2.34E-04
165.246,0.00643,2.53E-04
169.322,0.00654,2.76E-04
173.546,0.00656,2.95E-04
177.927,0.00667,3.24E-04
182.472,0.00685,3.61E-04
187.19,0.0072,4.07E-04
192.09,0.0075,4.56E-04
197.181,0.00819,5.09E-04
202.473,0.00861,5.70E-04
207.976,0.00941,6.77E-04
213.704,0.00938,7.68E-04
219.666,0.01056,8.89E-04
225.878,0.01067,0.00105
232.352,0.01258,0.00129
239.104,0.01495,0.00153
246.15,0.01776,0.00193
253.507,0.02124,0.00241
261.193,0.02461,0.00307
269.23,0.03079,0.00376
277.638,0.03739,0.00491
286.44,0.04602,0.00647
295.662,0.05542,0.00879
