Energy,DOS,Error
1.56559,5.38E-04,4.31E-05
1.5878,5.14E-04,3.94E-05
1.61015,4.98E-04,4.34E-05
1.63264,5.15E-04,4.79E-05
1.65527,5.34E-04,4.49E-05
1.67805,5.27E-04,4.65E-05
1.70097,5.15E-04,4.60E-05
1.72404,5.00E-04,4.74E-05
1.74726,5.47E-04,4.79E-05
1.77063,5.71E-04,4.73E-05
1.79414,5.84E-04,4.53E-05
1.81781,5.94E-04,4.58E-05
1.84163,6.10E-04,4.90E-05
1.8656,6.41E-04,5.07E-05
1.88973,6.73E-04,5.09E-05
1.91402,6.84E-04,5.21E-05
1.93846,6.80E-04,4.58E-05
1.96306,6.34E-04,4.68E-05
1.98783,6.46E-04,5.25E-05
2.01276,6.74E-04,5.07E-05
2.03784,7.43E-04,5.47E-05
2.0631,7.65E-04,5.22E-05
2.08852,7.75E-04,5.53E-05
2.11411,8.00E-04,5.90E-05
2.13987,7.99E-04,5.44E-05
2.1658,8.04E-04,5.38E-05
2.19191,7.58E-04,5.28E-05
2.21818,7.09E-04,5.34E-05
2.24464,7.20E-04,5.44E-05
2.27127,7.81E-04,5.54E-05
2.29807,8.79E-04,5.72E-05
2.32506,9.09E-04,5.75E-05
2.35223,9.17E-04,5.94E-05
2.37959,8.88E-04,5.90E-05
2.40713,8.72E-04,5.56E-05
2.43486,8.46E-04,5.80E-05
2.46277,8.53E-04,5.81E-05
2.49088,8.62E-04,5.54E-05
2.51918,8.97E-04,5.94E-05
2.54767,9.23E-04,6.20E-05
2.57636,9.76E-04,6.03E-05
2.60524,1.02E-03,6.23E-05
2.63433,1.03E-03,6.24E-05
2.66361,1.07E-03,5.92E-05
2.6931,0.00104,6.23E-05
2.72279,0.00103,6.63E-05
2.75269,9.98E-04,6.60E-05
2.7828,0.00102,6.08E-05
2.81312,0.00105,6.42E-05
2.84365,0.00106,6.43E-05
2.8744,0.00105,6.45E-05
2.90536,0.00107,6.10E-05
2.93654,0.00109,6.10E-05
2.96794,0.00115,6.47E-05
2.99957,0.00118,6.66E-05
3.03142,0.00122,6.46E-05
3.0635,0.00126,6.22E-05
3.0958,0.00128,6.50E-05
3.12834,0.00126,6.46E-05
3.16111,0.00124,6.48E-05
3.19412,0.0013,6.28E-05
3.22736,0.00134,6.95E-05
3.26085,0.00131,6.86E-05
3.29458,0.00129,6.86E-05
3.32855,0.00132,6.95E-05
3.36277,0.00138,7.05E-05
3.39724,0.00139,6.76E-05
3.43197,0.00139,7.20E-05
3.46694,0.00142,6.53E-05
3.50218,0.00149,6.90E-05
3.53767,0.00158,7.19E-05
3.57343,0.00162,7.47E-05
3.60945,0.00162,6.78E-05
3.64574,0.00159,7.54E-05
3.6823,0.00161,7.27E-05
3.71913,0.0016,7.62E-05
3.75624,0.00163,7.15E-05
3.79363,0.00162,7.43E-05
3.8313,0.00169,7.14E-05
3.86925,0.00171,7.32E-05
3.90749,0.00178,7.50E-05
3.94602,0.00181,7.55E-05
3.98484,0.00186,7.70E-05
4.02395,0.00188,7.58E-05
4.06337,0.00185,7.51E-05
4.10309,0.00185,7.75E-05
4.14311,0.00188,7.56E-05
4.18344,0.002,7.87E-05
4.22408,0.00208,7.80E-05
4.26504,0.00217,7.96E-05
4.30631,0.00217,8.01E-05
4.34791,0.00222,7.97E-05
4.38982,0.00221,7.87E-05
4.43207,0.00223,8.13E-05
4.47465,0.00232,8.10E-05
4.51756,0.00248,8.61E-05
4.56081,0.0026,8.23E-05
4.6044,0.00259,8.25E-05
4.64833,0.00248,8.18E-05
4.69262,0.00248,8.22E-05
4.73726,0.00258,8.45E-05
4.78225,0.00271,8.41E-05
4.8276,0.00275,8.55E-05
4.87332,0.00274,8.23E-05
4.91941,0.00278,8.67E-05
4.96586,0.00284,8.75E-05
5.0127,0.00294,8.63E-05
5.05991,0.00301,8.86E-05
5.10751,0.00308,9.01E-05
5.15549,0.00317,9.12E-05
5.20387,0.0032,9.05E-05
5.25265,0.0033,8.84E-05
5.30182,0.00327,9.05E-05
5.3514,0.00338,9.30E-05
5.40139,0.00341,9.05E-05
5.4518,0.0035,8.88E-05
5.50262,0.00355,9.27E-05
5.55387,0.00365,9.49E-05
5.60554,0.00369,9.42E-05
5.65765,0.00368,9.32E-05
5.7102,0.00374,9.68E-05
5.76319,0.00383,9.46E-05
5.81663,0.00394,9.55E-05
5.87052,0.00399,9.65E-05
5.92487,0.00408,9.75E-05
5.97968,0.00421,9.94E-05
6.03496,0.00429,9.54E-05
6.09072,0.00427,9.85E-05
6.14695,0.00436,9.81E-05
6.20367,0.00442,1.02E-04
6.26088,0.00458,1.01E-04
6.31859,0.00463,1.03E-04
6.3768,0.00464,1.01E-04
6.43551,0.00465,1.00E-04
6.49475,0.0047,1.00E-04
6.55449,0.00477,1.02E-04
6.61477,0.00478,1.02E-04
6.67558,0.0048,1.01E-04
6.73692,0.00482,1.02E-04
6.79881,0.00487,1.06E-04
6.86126,0.00495,1.03E-04
6.92426,0.00502,1.06E-04
6.98782,0.00507,1.04E-04
7.05196,0.00512,1.02E-04
7.11667,0.00514,1.04E-04
7.18197,0.00523,1.03E-04
7.24786,0.00524,1.08E-04
7.31434,0.00535,1.08E-04
7.38144,0.00537,1.07E-04
7.44915,0.0055,1.08E-04
7.51748,0.00554,1.09E-04
7.58644,0.00561,1.07E-04
7.65604,0.00563,1.08E-04
7.72628,0.0057,1.10E-04
7.79717,0.00567,1.09E-04
7.86873,0.0057,1.09E-04
7.94096,0.0057,1.10E-04
8.01385,0.0058,1.11E-04
8.08744,0.00578,1.11E-04
8.16173,0.00586,1.10E-04
8.23671,0.00588,1.12E-04
8.31241,0.00596,1.12E-04
8.38883,0.00599,1.10E-04
8.46597,0.00611,1.13E-04
8.54386,0.00622,1.12E-04
8.6225,0.00621,1.14E-04
8.7019,0.0062,1.11E-04
8.78206,0.00618,1.12E-04
8.86301,0.00625,1.11E-04
8.94474,0.00626,1.12E-04
9.02727,0.00627,1.11E-04
9.11061,0.00641,1.12E-04
9.19477,0.00644,1.16E-04
9.27976,0.00647,1.12E-04
9.3656,0.00634,1.13E-04
9.45228,0.00642,1.12E-04
9.53983,0.00643,1.14E-04
9.62826,0.00648,1.13E-04
9.71757,0.00646,1.12E-04
9.80779,0.0065,1.12E-04
9.89892,0.00647,1.12E-04
9.99096,0.00648,1.12E-04
10.084,0.00647,1.11E-04
10.1779,0.00653,1.10E-04
10.2728,0.0065,1.11E-04
10.3687,0.0065,1.11E-04
10.4655,0.00658,1.11E-04
10.5634,0.00665,1.13E-04
10.6623,0.00676,1.11E-04
10.7622,0.00673,1.12E-04
10.8631,0.00671,1.10E-04
10.9651,0.00663,1.10E-04
11.0682,0.00657,1.10E-04
11.1724,0.00668,1.10E-04
11.2777,0.00678,1.13E-04
11.3841,0.00694,1.11E-04
11.4916,0.00689,1.11E-04
11.6003,0.00688,1.09E-04
11.7102,0.00687,1.10E-04
11.8212,0.00694,1.11E-04
11.9335,0.00702,1.10E-04
12.047,0.00698,1.11E-04
12.1617,0.00701,1.10E-04
12.2776,0.00706,1.12E-04
12.3949,0.0072,1.11E-04
12.5134,0.0072,1.12E-04
12.6333,0.00724,1.10E-04
12.7545,0.00724,1.12E-04
12.877,0.00731,1.11E-04
13.0009,0.00728,1.12E-04
13.1262,0.00724,1.11E-04
13.2529,0.00727,1.10E-04
13.3811,0.00736,1.11E-04
13.5107,0.00744,1.11E-04
13.6417,0.00744,1.13E-04
13.7743,0.0074,1.12E-04
13.9084,0.00745,1.11E-04
14.0441,0.00753,1.14E-04
14.1813,0.00756,1.12E-04
14.3201,0.00762,1.14E-04
14.4606,0.00765,1.14E-04
14.6027,0.00775,1.14E-04
14.7465,0.00784,1.16E-04
14.8919,0.00791,1.16E-04
15.0391,0.00802,1.17E-04
15.1881,0.00814,1.16E-04
15.3388,0.00824,1.18E-04
15.4913,0.00843,1.18E-04
15.6457,0.00856,1.21E-04
15.8019,0.00874,1.21E-04
15.9601,0.00882,1.22E-04
16.1201,0.0089,1.23E-04
16.2822,0.00898,1.25E-04
16.4462,0.00903,1.24E-04
16.6122,0.00907,1.26E-04
16.7804,0.00916,1.28E-04
16.9506,0.00925,1.29E-04
17.1229,0.00931,1.30E-04
17.2974,0.00932,1.29E-04
17.4741,0.00933,1.32E-04
17.653,0.00931,1.31E-04
17.8342,0.0092,1.31E-04
18.0178,0.0091,1.32E-04
18.2036,0.00901,1.31E-04
18.3919,0.00895,1.33E-04
18.5826,0.00887,1.31E-04
18.7758,0.00886,1.32E-04
18.9715,0.00879,1.33E-04
19.1698,0.00872,1.34E-04
19.3707,0.00861,1.33E-04
19.5742,0.00856,1.33E-04
19.7805,0.00856,1.32E-04
19.9894,0.00849,1.35E-04
20.2012,0.00842,1.34E-04
20.4159,0.00833,1.36E-04
20.6334,0.00823,1.34E-04
20.8539,0.00834,1.34E-04
21.0774,0.00837,1.36E-04
21.304,0.00853,1.34E-04
21.5337,0.00851,1.34E-04
21.7666,0.00855,1.33E-04
22.0027,0.0085,1.36E-04
22.2421,0.00863,1.34E-04
22.4849,0.0087,1.34E-04
22.7311,0.00891,1.35E-04
22.9807,0.00896,1.33E-04
23.2339,0.00907,1.32E-04
23.4908,0.00901,1.32E-04
23.7513,0.00894,1.30E-04
24.0156,0.00886,1.32E-04
24.2837,0.00882,1.30E-04
24.5558,0.00883,1.28E-04
24.8318,0.0087,1.28E-04
25.1118,0.0087,1.26E-04
25.3961,0.00858,1.27E-04
25.6845,0.00862,1.25E-04
25.9772,0.00855,1.25E-04
26.2744,0.00853,1.25E-04
26.576,0.00851,1.24E-04
26.8822,0.00843,1.24E-04
27.1931,0.00848,1.24E-04
27.5087,0.00841,1.23E-04
27.8292,0.00846,1.22E-04
28.1546,0.00833,1.23E-04
28.4851,0.00829,1.21E-04
28.8208,0.00828,1.22E-04
29.1617,0.00826,1.20E-04
29.5081,0.00821,1.22E-04
29.8599,0.00804,1.21E-04
30.2173,0.008,1.21E-04
30.5805,0.00795,1.22E-04
30.9496,0.00802,1.21E-04
31.3246,0.00806,1.22E-04
31.7058,0.00799,1.22E-04
32.0932,0.00794,1.23E-04
32.487,0.00786,1.23E-04
32.8873,0.00789,1.24E-04
33.2943,0.0079,1.24E-04
33.7082,0.00788,1.26E-04
34.129,0.00791,1.23E-04
34.5569,0.00785,1.25E-04
34.9922,0.00791,1.26E-04
35.4349,0.00789,1.25E-04
35.8852,0.00808,1.24E-04
36.3434,0.00812,1.29E-04
36.8096,0.00825,1.28E-04
37.2839,0.00826,1.27E-04
37.7666,0.00834,1.27E-04
38.2579,0.00842,1.28E-04
38.758,0.00851,1.27E-04
39.2671,0.00851,1.27E-04
39.7854,0.00853,1.28E-04
40.3131,0.00865,1.28E-04
40.8505,0.00882,1.30E-04
41.3977,0.00897,1.30E-04
41.9551,0.00901,1.30E-04
42.523,0.00909,1.30E-04
43.1014,0.00912,1.30E-04
43.6908,0.00921,1.32E-04
44.2914,0.00919,1.33E-04
44.9034,0.00935,1.34E-04
45.5273,0.00934,1.37E-04
46.1632,0.00943,1.35E-04
46.8115,0.00943,1.38E-04
47.4726,0.00952,1.39E-04
48.1467,0.00965,1.41E-04
48.8342,0.0097,1.43E-04
49.5354,0.00968,1.44E-04
50.2509,0.00973,1.44E-04
50.9808,0.00972,1.47E-04
51.7256,0.00979,1.48E-04
52.4858,0.00979,1.50E-04
53.2616,0.00993,1.51E-04
54.0537,0.00997,1.54E-04
54.8624,0.00991,1.56E-04
55.6881,0.00993,1.57E-04
56.5315,0.0101,1.60E-04
57.393,0.01018,1.65E-04
58.273,0.0102,1.65E-04
59.1723,0.01009,1.68E-04
60.0912,0.01022,1.69E-04
61.0304,0.01021,1.74E-04
61.9905,0.01013,1.75E-04
62.9721,0.01015,1.77E-04
63.9759,0.01019,1.84E-04
65.0025,0.01034,1.85E-04
66.0526,0.0102,1.88E-04
67.1271,0.01014,1.91E-04
68.2265,0.01007,1.94E-04
69.3517,0.01021,1.96E-04
70.5034,0.01031,2.05E-04
71.6827,0.01043,2.09E-04
72.8903,0.01043,2.15E-04
74.1271,0.01037,2.21E-04
75.3942,0.01037,2.25E-04
76.6924,0.01031,2.31E-04
78.0228,0.01046,2.38E-04
79.3865,0.01044,2.46E-04
80.7847,0.01051,2.56E-04
82.2184,0.01052,2.63E-04
83.6889,0.01047,2.73E-04
85.1975,0.01051,2.82E-04
86.7454,0.01056,2.95E-04
88.3342,0.01083,3.00E-04
89.9652,0.01093,3.16E-04
91.6399,0.01088,3.26E-04
93.36,0.01093,3.50E-04
95.127,0.01076,3.61E-04
96.9426,0.01053,3.73E-04
98.8088,0.01021,3.99E-04
100.727,0.01,4.09E-04
102.7,0.00972,4.23E-04
104.73,0.00933,4.51E-04
106.818,0.00893,4.85E-04
108.966,0.00865,5.28E-04
111.178,0.00875,5.54E-04
113.456,0.00877,5.94E-04
115.803,0.00884,6.38E-04
118.22,0.00817,6.98E-04
120.712,0.00776,7.58E-04
123.281,0.00737,8.38E-04
125.93,0.00696,9.04E-04
128.663,0.0065,0.00102
131.483,0.00647,0.00111
134.394,0.00701,0.00127
137.4,0.00764,0.00137
140.506,0.00763,0.00161
143.715,0.00772,0.00184
147.033,0.00861,0.00209
150.464,0.0095,0.0024
154.013,0.00901,0.00278
157.686,0.0087,0.00327
161.489,0.00629,0.00395
165.428,0.00829,0.00471
169.51,0.01111,0.00563
173.741,0.01578,0.00677
178.13,0.02077,0.00831
182.683,0.02368,0.01012
187.409,0.03323,0.01323
192.317,0.02377,0.01668
197.416,0.03443,0.02081
202.718,0.05598,0.02683
208.232,0.07465,0.03485
213.969,0.08699,0.04506
219.943,0.0676,0.06078
226.166,0.15911,0.08314
232.652,0.11115,0.11281
239.417,0.25812,0.1651
246.477,0.28584,0.22339
253.848,0.89648,0.32953
261.551,0.94713,0.47333
269.603,1.04826,0.71439
278.029,0.47926,1.12311
286.849,3.38123,1.71745
296.091,9.35063,2.81258
