Energy (meV),Original DOS (normalized),DOS
30.4,0,0.003792283
30.5,0.046221178,0.003820017
30.6,0,0.003849278
30.7,0,0.003879878
30.8,0,0.003911621
30.9,0,0.003944309
31,0,0.003977749
31.1,0,0.004011757
31.2,0,0.004046163
31.3,0,0.004080815
31.4,0,0.004115581
31.5,0,0.004150352
31.6,0,0.00418504
31.7,0.055389805,0.004219581
31.8,0,0.004253933
31.9,0,0.004288071
32,0,0.004321994
32.1,0,0.004355713
32.2,0,0.004389255
32.3,0,0.004422658
32.4,0,0.004455968
32.5,0,0.004489237
32.6,0,0.00452252
32.7,0,0.004555875
32.8,0.045904377,0.004589356
32.9,0,0.004623015
33,0,0.004656901
33.1,0,0.004691054
33.2,0,0.004725511
33.3,0,0.004760299
33.4,0,0.00479544
33.5,0,0.004830948
33.6,0,0.00486683
33.7,0,0.004903087
33.8,0,0.004939715
33.9,0,0.004976704
34,0.070957759,0.005014041
34.1,0,0.005051712
34.2,0,0.005089698
34.3,0,0.005127982
34.4,0,0.005166543
34.5,0,0.005205365
34.6,0,0.00524443
34.7,0,0.005283721
34.8,0,0.005323225
34.9,0,0.005362929
35,0,0.005402823
35.1,0,0.005442899
35.2,0.05703479,0.00548315
35.3,0,0.005523572
35.4,0,0.005564165
35.5,0,0.005604929
35.6,0,0.005645867
35.7,0,0.005686986
35.8,0,0.005728292
35.9,0,0.0057698
36,0,0.005811525
36.1,0,0.005853486
36.2,0,0.005895707
36.3,0,0.00593822
36.4,0.082994575,0.005981057
36.5,0,0.006024261
36.6,0,0.006067878
36.7,0,0.006111961
36.8,0,0.006156571
36.9,0,0.006201773
37,0,0.006247641
37.1,0,0.006294252
37.2,0,0.006341689
37.3,0,0.00639004
37.4,0,0.006439395
37.5,0.068571332,0.006489849
37.6,0,0.006541496
37.7,0,0.006594429
37.8,0,0.006648743
37.9,0,0.006704528
38,0,0.00676187
38.1,0,0.006820849
38.2,0,0.006881542
38.3,0,0.006944015
38.4,0,0.007008326
38.5,0,0.007074526
38.6,0,0.007142654
38.7,0.076989994,0.00721274
38.8,0,0.007284805
38.9,0,0.007358856
39,0,0.007434895
39.1,0,0.007512911
39.2,0,0.007592886
39.3,0,0.007674794
39.4,0,0.0077586
39.5,0,0.007844267
39.6,0,0.007931749
39.7,0,0.008021001
39.8,0,0.008111972
39.9,0.104882689,0.008204612
40,0,0.008298872
40.1,0,0.008394705
40.2,0,0.008492066
40.3,0,0.008590915
40.4,0,0.008691218
40.5,0,0.008792947
40.6,0,0.008896083
40.7,0,0.009000613
40.8,0,0.009106535
40.9,0,0.009213856
41,0,0.009322595
41.1,0.102743808,0.009432779
41.2,0,0.009544448
41.3,0,0.009657653
41.4,0,0.009772455
41.5,0,0.009888928
41.6,0,0.010007157
41.7,0,0.010127237
41.8,0,0.010249276
41.9,0,0.010373391
42,0,0.010499709
42.1,0,0.010628368
42.2,0.12570359,0.010759516
42.3,0,0.010893309
42.4,0,0.011029911
42.5,0,0.011169497
42.6,0,0.011312247
42.7,0,0.011458348
42.8,0,0.011607995
42.9,0,0.011761387
43,0,0.011918731
43.1,0,0.012080235
43.2,0,0.012246115
43.3,0,0.012416587
43.4,0.143586611,0.012591873
43.5,0,0.012772195
43.6,0,0.012957779
43.7,0,0.013148849
43.8,0,0.013345634
43.9,0,0.013548359
44,0,0.013757251
44.1,0,0.013972537
44.2,0,0.014194439
44.3,0,0.014423182
44.4,0,0.014658985
44.5,0,0.014902067
44.6,0.143690444,0.015152643
44.7,0,0.015410924
44.8,0,0.015677118
44.9,0,0.01595143
45,0,0.01623406
45.1,0,0.016525203
45.2,0,0.016825049
45.3,0,0.017133783
45.4,0,0.017451586
45.5,0,0.01777863
45.6,0,0.018115084
45.7,0,0.018461107
45.8,0.185154642,0.018816853
45.9,0,0.019182469
46,0,0.019558091
46.1,0,0.019943849
46.2,0,0.020339862
46.3,0,0.020746239
46.4,0,0.021163078
46.5,0,0.021590465
46.6,0,0.022028473
46.7,0,0.022477161
46.8,0,0.022936573
46.9,0.22954763,0.023406737
47,0,0.023887662
47.1,0,0.024379338
47.2,0,0.024881734
47.3,0,0.025394799
47.4,0,0.025918454
47.5,0,0.026452599
47.6,0,0.026997103
47.7,0,0.027551808
47.8,0,0.028116522
47.9,0,0.028691024
48,0,0.029275056
48.1,0.282800316,0.029868325
48.2,0,0.030470497
48.3,0,0.031081201
48.4,0,0.031700024
48.5,0,0.032326509
48.6,0,0.032960154
48.7,0,0.033600412
48.8,0,0.034246689
48.9,0,0.034898343
49,0,0.035554682
49.1,0,0.036214966
49.2,0,0.036878404
49.3,0.371054655,0.037544156
49.4,0,0.03821133
49.5,0,0.038878988
49.6,0,0.03954614
49.7,0,0.04021175
49.8,0,0.040874734
49.9,0,0.041533965
50,0,0.04218827
50.1,0,0.042836439
50.2,0,0.04347722
50.3,0,0.04410933
50.4,0,0.044731449
50.5,0.51458416,0.045342234
50.6,0,0.045940315
50.7,0,0.0465243
50.8,0,0.047092785
50.9,0,0.047644355
51,0,0.048177586
51.1,0,0.048691057
51.2,0,0.049183351
51.3,0,0.049653064
51.4,0,0.050098805
51.5,0,0.05051921
51.6,0.480695364,0.050912943
51.7,0,0.051278703
51.8,0,0.051615231
51.9,0,0.051921317
52,0,0.052195803
52.1,0,0.052437593
52.2,0,0.052645659
52.3,0,0.052819041
52.4,0,0.05295686
52.5,0,0.05305832
52.6,0,0.053122711
52.7,0,0.053149418
52.8,0.842486381,0.053137921
52.9,0,0.053087803
53,0,0.052998751
53.1,0,0.052870559
53.2,0,0.052703132
53.3,0,0.052496484
53.4,0,0.052250747
53.5,0,0.051966163
53.6,0,0.051643091
53.7,0,0.051282004
53.8,0,0.050883486
53.9,0,0.050448236
54,2.24323612,0.049977059
54.1,0,0.049470871
54.2,0,0.048930688
54.3,0,0.048357629
54.4,0,0.047752905
54.5,0,0.047117822
54.6,0,0.046453767
54.7,0,0.045762211
54.8,0,0.045044695
54.9,0,0.04430283
55,0,0.043538285
55.1,0,0.042752784
55.2,0.044773732,0.041948095
55.3,0,0.041126027
55.4,0,0.040288416
55.5,0,0.039437124
55.6,0,0.038574028
55.7,0,0.037701012
55.8,0,0.036819959
55.9,0,0.035932747
56,0,0.035041236
56.1,0,0.034147265
56.2,0,0.033252645
56.3,0.041931991,0.032359149
56.4,0,0.031468511
56.5,0,0.030582415
56.6,0,0.029702491
56.7,0,0.028830311
56.8,0,0.027967384
56.9,0,0.02711515
57,0,0.026274979
57.1,0,0.025448166
57.2,0,0.024635927
57.3,0,0.0238394
57.4,0,0.023059638
57.5,0.05084973,0.022297614
57.6,0,0.021554216
57.7,0,0.020830246
57.8,0,0.020126425
57.9,0,0.019443385
58,0,0.018781679
58.1,0,0.018141777
58.2,0,0.017524068
58.3,0,0.016928863
58.4,0,0.0163564
58.5,0,0.015806838
58.6,0,0.015280272
58.7,0.051289792,0.014776724
58.8,0,0.014296157
58.9,0,0.013838469
59,0,0.013403505
59.1,0,0.012991053
59.2,0,0.012600855
59.3,0,0.012232605
59.4,0,0.011885955
59.5,0,0.011560521
59.6,0,0.011255884
59.7,0,0.010971594
59.8,0.059690158,0.010707175
59.9,0,0.010462128
60,0,0.010235934
60.1,0,0.010028058
60.2,0,0.009837954
60.3,0,0.009665063
60.4,0,0.009508822
60.5,0,0.009368662
60.6,0,0.009244013
60.7,0,0.009134308
60.8,0,0.009038982
60.9,0,0.008957473
61,0.069120218,0.008889229
61.1,0,0.008833708
61.2,0,0.008790374
61.3,0,0.008758707
61.4,0,0.008738199
61.5,0,0.008728354
61.6,0,0.008728692
61.7,0,0.00873875
61.8,0,0.008758079
61.9,0,0.008786247
62,0,0.00882284
62.1,0,0.008867459
62.2,0.074761899,0.008919723
62.3,0,0.008979268
62.4,0,0.009045746
62.5,0,0.009118827
62.6,0,0.009198196
62.7,0,0.009283554
62.8,0,0.009374618
62.9,0,0.009471119
63,0,0.009572803
63.1,0,0.00967943
63.2,0,0.009790773
63.3,0,0.009906618
63.4,0.086612642,0.010026761
63.5,0,0.010151012
63.6,0,0.01027919
63.7,0,0.010411123
63.8,0,0.010546652
63.9,0,0.010685622
64,0,0.010827888
64.1,0,0.010973313
64.2,0,0.011121765
64.3,0,0.01127312
64.4,0,0.011427256
64.5,0.101582698,0.01158406
64.6,0,0.011743421
64.7,0,0.01190523
64.8,0,0.012069385
64.9,0,0.012235783
65,0,0.012404326
65.1,0,0.012574916
65.2,0,0.012747457
65.3,0,0.012921853
65.4,0,0.013098011
65.5,0,0.013275834
65.6,0,0.013455229
65.7,0.121524582,0.0136361
65.8,0,0.01381835
65.9,0,0.014001884
66,0,0.014186603
66.1,0,0.014372406
66.2,0,0.014559193
66.3,0,0.014746859
66.4,0,0.014935299
66.5,0,0.015124407
66.6,0,0.015314071
66.7,0,0.015504179
66.8,0,0.015694618
66.9,0.159309891,0.015885268
67,0,0.016076011
67.1,0,0.016266723
67.2,0,0.016457279
67.3,0,0.016647551
67.4,0,0.016837408
67.5,0,0.017026718
67.6,0,0.017215343
67.7,0,0.017403145
67.8,0,0.017589983
67.9,0,0.017775713
68,0,0.017960189
68.1,0.199755132,0.018143264
68.2,0,0.018324786
68.3,0,0.018504603
68.4,0,0.018682561
68.5,0,0.018858503
68.6,0,0.019032272
68.7,0,0.019203708
68.8,0,0.019372651
68.9,0,0.01953894
69,0,0.019702412
69.1,0,0.019862904
69.2,0.22084658,0.020020252
69.3,0,0.020174292
69.4,0,0.020324861
69.5,0,0.020471795
69.6,0,0.020614931
69.7,0,0.020754105
69.8,0,0.020889158
69.9,0,0.021019928
70,0,0.021146256
70.1,0,0.021267985
70.2,0,0.021384961
70.3,0,0.021497031
70.4,0.222678372,0.021604043
70.5,0,0.021705852
70.6,0,0.021802312
70.7,0,0.021893284
70.8,0,0.021978629
70.9,0,0.022058215
71,0,0.022131913
71.1,0,0.022199598
71.2,0,0.022261151
71.3,0,0.022316458
71.4,0,0.022365409
71.5,0,0.0224079
71.6,0.219436929,0.022443834
71.7,0,0.022473119
71.8,0,0.022495669
71.9,0,0.022511406
72,0,0.022520257
72.1,0,0.022522157
72.2,0,0.022517047
72.3,0,0.022504877
72.4,0,0.022485602
72.5,0,0.022459188
72.6,0,0.022425606
72.7,0,0.022384836
72.8,0.35254797,0.022336865
72.9,0,0.022281689
73,0,0.022219312
73.1,0,0.022149746
73.2,0,0.022073012
73.3,0,0.021989138
73.4,0,0.021898161
73.5,0,0.021800127
73.6,0,0.021695088
73.7,0,0.021583108
73.8,0,0.021464256
73.9,1.355410716,0.02133861
74,0,0.021206256
74.1,0,0.021067288
74.2,0,0.020921809
74.3,0,0.020769927
74.4,0,0.020611759
74.5,0,0.020447431
74.6,0,0.020277072
74.7,0,0.020100823
74.8,0,0.019918826
74.9,0,0.019731236
75,0,0.019538207
75.1,0.256806419,0.019339906
75.2,0,0.0191365
75.3,0,0.018928164
75.4,0,0.018715079
75.5,0,0.018497429
75.6,0,0.018275403
75.7,0,0.018049194
75.8,0,0.017818999
75.9,0,0.01758502
76,0,0.017347458
76.1,0,0.017106521
76.2,0,0.016862418
76.3,0,0.01661536
76.4,0,0.016365558
76.5,0,0.016113228
76.6,0,0.015858584
76.7,0,0.015601841
76.8,0,0.015343216
76.9,0,0.015082924
77,0,0.014821181
77.1,0,0.014558201
77.2,0,0.014294198
77.3,0,0.014029383
77.4,0,0.013763966
77.5,0,0.013498157
77.6,0,0.013232159
77.7,0,0.012966177
77.8,0,0.01270041
77.9,0,0.012435055
78,0,0.012170304
78.1,0,0.011906346
78.2,0,0.011643368
78.3,0,0.011381548
78.4,0,0.011121064
78.5,0,0.010862087
78.6,0,0.010604782
78.7,0,0.010349312
78.8,0,0.010095832
78.9,0,0.009844492
79,0,0.009595438
79.1,0,0.009348809
79.2,0,0.009104737
79.3,0,0.008863349
79.4,0,0.008624768
79.5,0,0.008389108
79.6,0,0.008156479
79.7,0,0.007926982
79.8,0,0.007700715
79.9,0,0.007477768
80,0,0.007258224
80.1,0,0.007042163
80.2,0,0.006829656
80.3,0,0.006620767
80.4,0,0.006415558
80.5,0,0.006214081
80.6,0,0.006016383
80.7,0,0.005822507
80.8,0,0.005632489
80.9,0,0.005446358
81,0,0.005264139
81.1,0,0.005085852
81.2,0,0.004911511
81.3,0,0.004741123
81.4,0,0.004574694
81.5,0,0.004412222
81.6,0,0.004253701
81.7,0,0.004099121
81.8,0,0.003948467
81.9,0,0.00380172
82,0,0.003658858
82.1,0,0.003519853
82.2,0,0.003384674
82.3,0,0.003253289
82.4,0,0.003125658
82.5,0,0.003001743
82.6,0,0.002881498
82.7,0,0.002764879
82.8,0,0.002651836
82.9,0,0.002542317
83,0,0.00243627
83.1,0,0.002333637
83.2,0,0.002234363
83.3,0,0.002138387
83.4,0,0.002045648
83.5,0,0.001956085
83.6,0,0.001869633
83.7,0,0.001786228
83.8,0,0.001705805
83.9,0,0.001628297
84,0,0.001553636
84.1,0,0.001481756
84.2,0,0.001412588
84.3,0,0.001346065
84.4,0,0.001282117
84.5,0,0.001220677
84.6,0,0.001161677
84.7,0,0.001105047
84.8,0,0.001050722
84.9,0,0.000998632
85,0,0.000948713
85.1,0,0.000900897
85.2,0,0.000855118
85.3,0,0.000811313
85.4,0,0.000769416
85.5,0,0.000729366
85.6,0,0.000691099
85.7,0,0.000654555
85.8,0,0.000619673
85.9,0,0.000586395
86,0,0.000554662
86.1,0,0.000524417
86.2,0,0.000495606
86.3,0,0.000468174
86.4,0,0.000442067
86.5,0,0.000417234
86.6,0,0.000393625
86.7,0,0.00037119
86.8,0,0.00034988
86.9,0,0.000329651
87,0,0.000310456
87.1,0,0.00029225
87.2,0,0.000274993
87.3,0,0.000258642
87.4,0,0.000243157
87.5,0,0.0002285
87.6,0,0.000214632
87.7,0,0.000201518
87.8,0,0.000189123
87.9,0,0.000177413
88,0,0.000166356
88.1,0,0.00015592
88.2,0,0.000146075
88.3,0,0.000136791
88.4,0,0.000128042
88.5,0,0.000119801
88.6,0,0.000112041
88.7,0,0.000104738
88.8,0,9.79E-05
88.9,0,9.14E-05
89,0,8.53E-05
89.1,0,7.96E-05
89.2,0,7.43E-05
89.3,0,6.93E-05
89.4,0,6.46E-05
89.5,0,6.01E-05
89.6,0,5.60E-05
89.7,0,5.21E-05
89.8,0,4.85E-05
89.9,0,4.51E-05
90,0,4.19E-05
90.1,0,3.89E-05
90.2,0,3.62E-05
90.3,0,3.36E-05
90.4,0,3.12E-05
90.5,0,2.89E-05
90.6,0,2.68E-05
90.7,0,2.48E-05
90.8,0,2.30E-05
90.9,0,2.13E-05
91,0,1.97E-05
91.1,0,1.82E-05
91.2,0,1.69E-05
91.3,0,1.56E-05
91.4,0,1.44E-05
91.5,0,1.33E-05
91.6,0,1.23E-05
91.7,0,1.13E-05
91.8,0,1.04E-05
91.9,0,9.63E-06
92,0,8.88E-06
92.1,0,8.18E-06
92.2,0,7.53E-06
92.3,0,6.93E-06
92.4,0,6.37E-06
92.5,0,5.86E-06
92.6,0,5.39E-06
92.7,0,4.95E-06
92.8,0,4.54E-06
92.9,0,4.17E-06
93,0,3.83E-06
93.1,0,3.51E-06
93.2,0,3.22E-06
93.3,0,2.95E-06
93.4,0,2.70E-06
93.5,0,2.47E-06
93.6,0,2.26E-06
93.7,0,2.07E-06
93.8,0,1.89E-06
93.9,0,1.73E-06
94,0,1.58E-06
94.1,0,1.44E-06
94.2,0,1.32E-06
94.3,0,1.20E-06
94.4,0,1.10E-06
94.5,0,9.99E-07
94.6,0,9.11E-07
94.7,0,8.30E-07
94.8,0,7.55E-07
94.9,0,6.87E-07
95,0,6.25E-07
95.1,0,5.69E-07
95.2,0,5.17E-07
95.3,0,4.69E-07
95.4,0,4.26E-07
95.5,0,3.87E-07
95.6,0,3.51E-07
95.7,0,3.18E-07
95.8,0,2.89E-07
95.9,0,2.62E-07
96,0,2.37E-07
96.1,0,2.15E-07
96.2,0,1.94E-07
96.3,0,1.76E-07
96.4,0,1.59E-07
96.5,0,1.44E-07
96.6,0,1.30E-07
96.7,0,1.17E-07
96.8,0,1.06E-07
96.9,0,9.54E-08
97,0,8.60E-08
97.1,0,7.76E-08
97.2,0,6.99E-08
97.3,0,6.30E-08
97.4,0,5.67E-08
97.5,0,5.10E-08
97.6,0,4.59E-08
97.7,0,4.13E-08
97.8,0,3.71E-08
97.9,0,3.33E-08
98,0,2.99E-08
98.1,0,2.69E-08
98.2,0,2.41E-08
98.3,0,2.16E-08
98.4,0,1.94E-08
98.5,0,1.74E-08
98.6,0,1.56E-08
98.7,0,1.39E-08
98.8,0,1.25E-08
98.9,0,1.12E-08
99,0,9.98E-09
99.1,0,8.92E-09
99.2,0,7.97E-09
99.3,0,7.12E-09
99.4,0,6.36E-09
99.5,0,5.67E-09
99.6,0,5.06E-09
99.7,0,4.51E-09
99.8,0,4.02E-09
99.9,0,3.58E-09
100,0,3.19E-09
100.1,0,2.84E-09
100.2,0,2.53E-09
100.3,0,2.25E-09
100.4,0,2.00E-09
100.5,0,1.77E-09
100.6,0,1.58E-09
100.7,0,1.40E-09
100.8,0,1.24E-09
100.9,0,1.10E-09
101,0,9.77E-10
101.1,0,8.66E-10
101.2,0,7.67E-10
101.3,0,6.79E-10
101.4,0,6.01E-10
101.5,0,5.32E-10
101.6,0,4.71E-10
101.7,0,4.16E-10
101.8,0,3.68E-10
101.9,0,3.25E-10
102,0,2.87E-10
102.1,0,2.53E-10
102.2,0,2.23E-10
102.3,0,1.97E-10
102.4,0,1.74E-10
102.5,0,1.53E-10
102.6,0,1.35E-10
102.7,0,1.19E-10
102.8,0,1.04E-10
102.9,0,9.18E-11
103,0,8.07E-11
103.1,0,7.09E-11
103.2,0,6.23E-11
103.3,0,5.47E-11
103.4,0,4.80E-11
103.5,0,4.21E-11
103.6,0,3.69E-11
103.7,0,3.24E-11
103.8,0,2.84E-11
103.9,0,2.49E-11
104,0,2.18E-11
104.1,0,1.90E-11
104.2,0,1.67E-11
104.3,0,1.46E-11
104.4,0,1.27E-11
104.5,0,1.11E-11
104.6,0,9.72E-12
104.7,0,8.48E-12
104.8,0,7.40E-12
104.9,0,6.45E-12
105,0,5.63E-12
105.1,0,4.90E-12
105.2,0,4.27E-12
105.3,0,3.72E-12
105.4,0,3.24E-12
105.5,0,2.82E-12
105.6,0,2.45E-12
105.7,0,2.13E-12
105.8,0,1.85E-12
105.9,0,1.61E-12
106,0,1.39E-12
106.1,0,1.21E-12
106.2,0,1.05E-12
106.3,0,9.10E-13
106.4,0,7.89E-13
106.5,0,6.83E-13
106.6,0,5.92E-13
106.7,0,5.12E-13
106.8,0,4.43E-13
106.9,0,3.83E-13
107,0,3.31E-13
107.1,0,2.86E-13
107.2,0,2.47E-13
107.3,0,2.14E-13
107.4,0,1.84E-13
107.5,0,1.59E-13
107.6,0,1.37E-13
107.7,0,1.18E-13
107.8,0,1.02E-13
107.9,0,8.76E-14
108,0,7.54E-14
108.1,0,6.49E-14
108.2,0,5.58E-14
108.3,0,4.80E-14
108.4,0,4.12E-14
108.5,0,3.54E-14
108.6,0,3.04E-14
108.7,0,2.61E-14
108.8,0,2.24E-14
108.9,0,1.92E-14
109,0,1.65E-14
109.1,0,1.41E-14
109.2,0,1.21E-14
109.3,0,1.03E-14
109.4,0,8.85E-15
109.5,0,7.57E-15
109.6,0,6.47E-15
109.7,0,5.53E-15
109.8,0,4.72E-15
109.9,0,4.03E-15
110,0,3.44E-15
110.1,0,2.94E-15
110.2,0,2.50E-15
110.3,0,2.13E-15
110.4,0,1.82E-15
110.5,0,1.55E-15
110.6,0,1.32E-15
110.7,0,1.12E-15
110.8,0,9.55E-16
110.9,0,8.12E-16
111,0,6.90E-16
111.1,0,5.86E-16
111.2,0,4.98E-16
111.3,0,4.22E-16
111.4,0,3.58E-16
111.5,0,3.04E-16
111.6,0,2.58E-16
111.7,0,2.18E-16
111.8,0,1.85E-16
111.9,0,1.56E-16
112,0,1.32E-16
112.1,0,1.12E-16
112.2,0,9.47E-17
112.3,0,8.00E-17
112.4,0,6.76E-17
112.5,0,5.71E-17
112.6,0,4.82E-17
112.7,0,4.06E-17
112.8,0,3.43E-17
112.9,0,2.89E-17
113,0,2.43E-17
113.1,0,2.05E-17
113.2,0,1.73E-17
113.3,0,1.45E-17
113.4,0,1.22E-17
113.5,0,1.03E-17
